frame,feature_shift,uncertainty,tracker_drift,composite,consecutive,triggered,buffer_size
1,0.1634,0.0,0.0,0.0654,0,False,0
2,0.1853,0.0,0.12749999999999995,0.106,0,False,0
3,0.1916,0.7547,0.10999999999999999,0.3683,0,False,1
4,0.2161,0.4826,0.11719999999999997,0.2846,0,False,1
5,0.2295,0.3313,0.11499999999999999,0.2365,0,False,2
6,0.2387,0.763,0.10119999999999996,0.3878,0,False,2
7,0.2484,0.7751,0.10319999999999996,0.3964,0,False,2
8,0.2471,0.7825,0.10319999999999996,0.3985,0,False,2
9,0.2635,0.7831,0.10319999999999996,0.4053,0,False,2
10,0.2605,0.7992,0.10880000000000001,0.4111,0,False,2
11,0.2626,0.5076,0.1189,0.3124,0,False,3
12,0.2599,0.3798,0.12229999999999996,0.2675,0,False,3
13,0.2591,0.3916,0.12229999999999996,0.2713,0,False,3
14,0.2519,0.4009,0.13129999999999997,0.2739,0,False,4
15,0.2512,0.4039,0.13129999999999997,0.2747,0,False,4
16,0.254,0.4072,0.13129999999999997,0.2769,0,False,4
17,0.2476,0.4228,0.14390000000000003,0.283,0,False,4
18,0.2488,0.6026,0.14390000000000003,0.3464,0,False,4
19,0.2457,0.3873,0.14280000000000004,0.2695,0,False,5
20,0.2464,0.576,0.13449999999999995,0.3338,0,False,5
21,0.2415,0.5779,0.14159999999999995,0.3343,0,False,5
22,0.2465,0.3868,0.14429999999999998,0.2701,0,False,5
23,0.248,0.3695,0.1432,0.2643,0,False,6
24,0.2466,0.3824,0.1392,0.2673,0,False,6
25,0.2457,0.3834,0.1392,0.2673,0,False,6
26,0.2524,0.3635,0.13739999999999997,0.2625,0,False,7
27,0.2545,0.35,0.13739999999999997,0.2586,0,False,7
28,0.2525,0.4344,0.14790000000000003,0.29,0,False,7
29,0.2453,0.3608,0.14670000000000005,0.2611,0,False,7
30,0.2523,0.3602,0.14670000000000005,0.2637,0,False,7
31,0.2618,0.3497,0.14670000000000005,0.2638,0,False,8
32,0.2662,0.4822,0.13870000000000005,0.3099,0,False,8
33,0.2648,0.4083,0.14090000000000003,0.284,0,False,8
34,0.2681,0.4717,0.15510000000000002,0.3111,0,False,8
35,0.2649,0.5891,0.15659999999999996,0.3513,0,False,8
36,0.2682,0.7667,0.15659999999999996,0.4148,0,False,9
37,0.2717,0.6356,0.15659999999999996,0.3703,0,False,9
38,0.2788,0.4775,0.16080000000000005,0.3188,0,False,9
39,0.2771,0.4068,0.17679999999999996,0.2974,0,False,9
40,0.2777,0.4361,0.19569999999999999,0.3126,0,False,9
41,0.2896,0.4283,0.19569999999999999,0.3147,0,False,9
42,0.2832,0.3975,0.22040000000000004,0.3075,0,False,9
43,0.2886,0.5296,0.22640000000000005,0.3574,0,False,9
44,0.2997,0.8206,0.2439,0.4681,0,False,9
45,0.2949,0.8,0.261,0.4632,0,False,9
46,0.3067,0.8492,0.2633,0.4857,0,False,9
47,0.3143,0.8515,0.2633,0.4896,0,False,9
48,0.3254,0.7914,0.2633,0.473,0,False,9
49,0.3444,0.7549,0.2573,0.4663,0,False,9
50,0.3547,0.9002,0.2569,0.5212,0,False,9
51,0.3622,0.8759,0.2569,0.5157,0,False,9
52,0.3679,0.8984,0.26070000000000004,0.5268,0,False,9
53,0.3795,0.6579,0.26070000000000004,0.4472,0,False,9
54,0.3876,0.5778,0.26070000000000004,0.4224,0,False,9
55,0.4362,0.8352,0.28259999999999996,0.5374,0,False,9
56,0.4642,0.9428,0.27070000000000005,0.5833,0,False,9
57,0.4841,0.7782,0.275,0.5348,0,False,9
58,0.4948,0.9565,0.275,0.6014,0,False,9
59,0.5232,0.8271,0.29369999999999996,0.5722,0,False,9
60,0.5433,0.6676,0.27159999999999995,0.5189,0,False,9
61,0.5702,0.7339,0.28059999999999996,0.5551,0,False,9
62,0.5697,0.7652,0.3145,0.5743,0,False,9
63,0.5632,0.7034,0.3145,0.5501,0,False,9
64,0.5855,0.7613,0.3145,0.5793,0,False,9
65,0.602,0.8342,0.3538,0.6212,0,False,9
66,0.6204,1.0,0.40669999999999995,0.6998,1,False,9
67,0.6323,1.0,0.40669999999999995,0.7046,2,False,9
68,0.6305,1.0,0.4283,0.7093,3,False,9
69,0.6709,0.8268,0.4355,0.6666,4,False,9
70,0.6928,0.6,0.46940000000000004,0.6045,0,False,9
71,0.6961,0.6,0.46940000000000004,0.6058,0,False,9
72,0.7325,0.6,0.49470000000000003,0.6267,0,False,9
73,0.7271,0.6,0.47050000000000003,0.6185,0,False,9
74,0.7352,0.6,0.5043,0.6302,0,False,9
75,0.7337,0.7664,0.5015000000000001,0.6871,1,False,9
76,0.7363,0.9833,0.5015000000000001,0.7641,2,False,9
77,0.7202,1.0,0.4917,0.761,3,False,9
78,0.7211,0.9155,0.49970000000000003,0.7338,4,False,9
79,0.7255,0.7719,0.4841,0.6814,5,True,9
80,0.7465,0.8162,0.4897,0.7067,6,True,9
81,0.7471,0.6,0.4897,0.6313,0,False,9
82,0.7755,0.6,0.49639999999999995,0.6443,0,False,9
83,0.7793,0.6,0.5062,0.6483,0,False,9
84,0.803,0.6,0.5005999999999999,0.6563,1,False,9
85,0.8102,0.7194,0.5378000000000001,0.7103,2,False,9
86,0.81,0.737,0.5378000000000001,0.7164,3,False,9
